artist,stage,day,date,start,end,start_label,end_label
HEIDI LAWDEN B2B MASHA MAR,Bionic Jungle,Day 1,2026-05-15,2026-05-15T17:00:00,2026-05-15T19:00:00,5pm,7pm
MAX DEAN B2B LUKE DEAN,Cosmic Meadow,Day 1,2026-05-15,2026-05-15T17:00:00,2026-05-15T18:55:00,5pm,6:55pm
DANNI G,Ubuntu,Day 1,2026-05-15,2026-05-15T17:00:00,2026-05-15T19:30:00,5pm,7:30pm
RIOT,Basspod,Day 1,2026-05-15,2026-05-15T19:00:00,2026-05-15T19:50:00,7pm,7:50pm
NOT NOT,Beatbox Art Car,Day 1,2026-05-15,2026-05-15T19:00:00,2026-05-15T20:15:00,7pm,8:15pm
STACY CHRISTINE,Bionic Jungle,Day 1,2026-05-15,2026-05-15T19:00:00,2026-05-15T20:00:00,7pm,8pm
JRUIZ,Casa Bacardi,Day 1,2026-05-15,2026-05-15T19:00:00,2026-05-15T20:00:00,7pm,8pm
1991,Circuit Grounds,Day 1,2026-05-15,2026-05-15T19:00:00,2026-05-15T20:00:00,7pm,8pm
JACKIE HOLLANDER,Cosmic Meadow,Day 1,2026-05-15,2026-05-15T19:00:00,2026-05-15T19:55:00,7pm,7:55pm
JEM,Electrolit Hydration House,Day 1,2026-05-15,2026-05-15T19:00:00,2026-05-15T20:30:00,7pm,8:30pm
BIG DADDY KESS,Forest House,Day 1,2026-05-15,2026-05-15T19:00:00,2026-05-15T20:00:00,7pm,8pm
THE KANDYMAN,Insomniac Fridays,Day 1,2026-05-15,2026-05-15T19:00:00,2026-05-15T20:30:00,7pm,8:30pm
LAIDBACK LUKE B2B CHUCKIE,Kinetic Field,Day 1,2026-05-15,2026-05-15T19:00:00,2026-05-15T20:00:00,7pm,8pm
ANASTAZJA,Neon Garden,Day 1,2026-05-15,2026-05-15T19:00:00,2026-05-15T20:30:00,7pm,8:30pm
GL00M13,Picnic Playtime Art Car,Day 1,2026-05-15,2026-05-15T19:00:00,2026-05-15T20:15:00,7pm,8:15pm
SARAH DE WARREN,Quantum Valley,Day 1,2026-05-15,2026-05-15T19:00:00,2026-05-15T20:00:00,7pm,8pm
ABANA B2B JULIET MENDOZA,Stereobloom,Day 1,2026-05-15,2026-05-15T19:00:00,2026-05-15T20:00:00,7pm,8pm
TROUBLE,Takis Rave Hangar,Day 1,2026-05-15,2026-05-15T19:00:00,2026-05-15T20:30:00,7pm,8:30pm
DOMINA,Wasteland,Day 1,2026-05-15,2026-05-15T19:00:00,2026-05-15T20:30:00,7pm,8:30pm
SOSO DRU,YeeDC,Day 1,2026-05-15,2026-05-15T19:00:00,2026-05-15T20:45:00,7pm,8:45pm
PIZZI,Ubuntu,Day 1,2026-05-15,2026-05-15T19:30:00,2026-05-15T21:30:00,7:30pm,9:30pm
THE MASQUERADE,Basspod,Day 1,2026-05-15,2026-05-15T19:50:00,2026-05-15T20:40:00,7:50pm,8:40pm
RODDY LIMA,Cosmic Meadow,Day 1,2026-05-15,2026-05-15T19:55:00,2026-05-15T20:55:00,7:55pm,8:55pm
THE CARRY NATION,Bionic Jungle,Day 1,2026-05-15,2026-05-15T20:00:00,2026-05-15T21:30:00,8pm,9:30pm
CARDO,Casa Bacardi,Day 1,2026-05-15,2026-05-15T20:00:00,2026-05-15T21:00:00,8pm,9pm
BOU,Circuit Grounds,Day 1,2026-05-15,2026-05-15T20:00:00,2026-05-15T21:00:00,8pm,9pm
SUSSYBAKA,Forest House,Day 1,2026-05-15,2026-05-15T20:00:00,2026-05-15T21:00:00,8pm,9pm
KOROLOVA,Kinetic Field,Day 1,2026-05-15,2026-05-15T20:00:00,2026-05-15T21:00:00,8pm,9pm
MATTY RALPH,Quantum Valley,Day 1,2026-05-15,2026-05-15T20:00:00,2026-05-15T21:00:00,8pm,9pm
SLAMM,Stereobloom,Day 1,2026-05-15,2026-05-15T20:00:00,2026-05-15T21:00:00,8pm,9pm
MER BEAR,Beatbox Art Car,Day 1,2026-05-15,2026-05-15T20:15:00,2026-05-15T21:30:00,8:15pm,9:30pm
PUNKY BREWSTAR,Picnic Playtime Art Car,Day 1,2026-05-15,2026-05-15T20:15:00,2026-05-15T21:30:00,8:15pm,9:30pm
DEMIGOD,Insomniac Fridays,Day 1,2026-05-15,2026-05-15T20:30:00,2026-05-15T21:45:00,8:30pm,9:45pm
MESTIZA,Neon Garden,Day 1,2026-05-15,2026-05-15T20:30:00,2026-05-15T22:00:00,8:30pm,10pm
DIP VERTIGO,Takis Rave Hangar,Day 1,2026-05-15,2026-05-15T20:30:00,2026-05-15T22:00:00,8:30pm,10pm
SERAFINA,Wasteland,Day 1,2026-05-15,2026-05-15T20:30:00,2026-05-15T21:30:00,8:30pm,9:30pm
HEYZ,Basspod,Day 1,2026-05-15,2026-05-15T20:40:00,2026-05-15T21:30:00,8:40pm,9:30pm
$AMI G,YeeDC,Day 1,2026-05-15,2026-05-15T20:45:00,2026-05-15T22:15:00,8:45pm,10:15pm
WESTEND,Cosmic Meadow,Day 1,2026-05-15,2026-05-15T20:55:00,2026-05-15T21:55:00,8:55pm,9:55pm
J PATRON,Casa Bacardi,Day 1,2026-05-15,2026-05-15T21:00:00,2026-05-15T22:00:00,9pm,10pm
NICO MORENO,Circuit Grounds,Day 1,2026-05-15,2026-05-15T21:00:00,2026-05-15T22:00:00,9pm,10pm
DONO,Forest House,Day 1,2026-05-15,2026-05-15T21:00:00,2026-05-15T22:00:00,9pm,10pm
ARGY,Kinetic Field,Day 1,2026-05-15,2026-05-15T21:00:00,2026-05-15T22:00:00,9pm,10pm
COLD BLUE,Quantum Valley,Day 1,2026-05-15,2026-05-15T21:00:00,2026-05-15T22:00:00,9pm,10pm
LUUK VAN DIJK,Stereobloom,Day 1,2026-05-15,2026-05-15T21:00:00,2026-05-15T22:15:00,9pm,10:15pm
MUZZ,Basspod,Day 1,2026-05-15,2026-05-15T21:30:00,2026-05-15T22:30:00,9:30pm,10:30pm
LADY SINCLAIR,Beatbox Art Car,Day 1,2026-05-15,2026-05-15T21:30:00,2026-05-15T22:45:00,9:30pm,10:45pm
MASSIMILIANO PAGLIARA,Bionic Jungle,Day 1,2026-05-15,2026-05-15T21:30:00,2026-05-15T23:00:00,9:30pm,11pm
INSPEKTOR GADJET,Picnic Playtime Art Car,Day 1,2026-05-15,2026-05-15T21:30:00,2026-05-15T22:45:00,9:30pm,10:45pm
JOHANNES SCHUSTER,Wasteland,Day 1,2026-05-15,2026-05-15T21:30:00,2026-05-15T22:30:00,9:30pm,10:30pm
LOUIS LOVE,Insomniac Fridays,Day 1,2026-05-15,2026-05-15T21:45:00,2026-05-15T23:00:00,9:45pm,11pm
WALKER & ROYCE B2B VNSSA,Cosmic Meadow,Day 1,2026-05-15,2026-05-15T21:55:00,2026-05-15T22:55:00,9:55pm,10:55pm
CC LOVE,Casa Bacardi,Day 1,2026-05-15,2026-05-15T22:00:00,2026-05-15T23:30:00,10pm,11:30pm
I HATE MODELS,Circuit Grounds,Day 1,2026-05-15,2026-05-15T22:00:00,2026-05-15T23:15:00,10pm,11:15pm
KELLAND,Electrolit Hydration House,Day 1,2026-05-15,2026-05-15T22:00:00,2026-05-15T23:30:00,10pm,11:30pm
MAX LOW,Forest House,Day 1,2026-05-15,2026-05-15T22:00:00,2026-05-15T23:00:00,10pm,11pm
DJ TENNIS B2B CHLOE CAILLET,Neon Garden,Day 1,2026-05-15,2026-05-15T22:00:00,2026-05-15T23:30:00,10pm,11:30pm
PEGASSI,Quantum Valley,Day 1,2026-05-15,2026-05-15T22:00:00,2026-05-15T23:00:00,10pm,11pm
MACHETE,Takis Rave Hangar,Day 1,2026-05-15,2026-05-15T22:00:00,2026-05-15T23:30:00,10pm,11:30pm
CHRIS LORENZO,Kinetic Field,Day 1,2026-05-15,2026-05-15T22:07:00,2026-05-15T23:15:00,10:07pm,11:15pm
OMAR+,Stereobloom,Day 1,2026-05-15,2026-05-15T22:15:00,2026-05-15T23:30:00,10:15pm,11:30pm
DIRTY AUDIO,YeeDC,Day 1,2026-05-15,2026-05-15T22:15:00,2026-05-16T00:00:00,10:15pm,12am
GORILLAT,Basspod,Day 1,2026-05-15,2026-05-15T22:30:00,2026-05-15T23:30:00,10:30pm,11:30pm
ADRIAN MILLS,Wasteland,Day 1,2026-05-15,2026-05-15T22:30:00,2026-05-15T23:30:00,10:30pm,11:30pm
TSU NAMI,Beatbox Art Car,Day 1,2026-05-15,2026-05-15T22:45:00,2026-05-16T00:00:00,10:45pm,12am
SKIBKID,Picnic Playtime Art Car,Day 1,2026-05-15,2026-05-15T22:45:00,2026-05-16T00:00:00,10:45pm,12am
PARAMIDA,Bionic Jungle,Day 1,2026-05-15,2026-05-15T23:00:00,2026-05-16T00:30:00,11pm,12:30am
JOEY G,Forest House,Day 1,2026-05-15,2026-05-15T23:00:00,2026-05-16T00:00:00,11pm,12am
DARUDE,Quantum Valley,Day 1,2026-05-15,2026-05-15T23:00:00,2026-05-16T00:00:00,11pm,12am
UNDERWORLD,Cosmic Meadow,Day 1,2026-05-15,2026-05-15T23:10:00,2026-05-16T00:10:00,11:10pm,12:10am
LEVITY,Circuit Grounds,Day 1,2026-05-15,2026-05-15T23:15:00,2026-05-16T00:25:00,11:15pm,12:25am
SOFI TUKKER,Kinetic Field,Day 1,2026-05-15,2026-05-15T23:19:00,2026-05-16T00:28:00,11:19pm,12:28am
GHENGAR,Basspod,Day 1,2026-05-15,2026-05-15T23:30:00,2026-05-16T00:30:00,11:30pm,12:30am
JFUSE,Casa Bacardi,Day 1,2026-05-15,2026-05-15T23:30:00,2026-05-16T01:00:00,11:30pm,1am
JULIET MENDOZA,Electrolit Hydration House,Day 1,2026-05-15,2026-05-15T23:30:00,2026-05-16T01:00:00,11:30pm,1am
PEGGY GOU,Neon Garden,Day 1,2026-05-15,2026-05-15T23:30:00,2026-05-16T01:00:00,11:30pm,1am
LUKE DEAN,Stereobloom,Day 1,2026-05-15,2026-05-15T23:30:00,2026-05-16T00:45:00,11:30pm,12:45am
DANNY THE WILDCHILD,Takis Rave Hangar,Day 1,2026-05-15,2026-05-15T23:30:00,2026-05-16T01:00:00,11:30pm,1am
CAIIRO,Ubuntu,Day 1,2026-05-15,2026-05-15T23:30:00,2026-05-16T01:30:00,11:30pm,1:30am
CLOUDY,Wasteland,Day 1,2026-05-15,2026-05-15T23:30:00,2026-05-16T00:30:00,11:30pm,12:30am
ARMNHMR,Beatbox Art Car,Day 1,2026-05-15,2026-05-16T00:00:00,2026-05-16T01:30:00,12am,1:30am
99JAKES,Picnic Playtime Art Car,Day 1,2026-05-15,2026-05-16T00:00:00,2026-05-16T01:30:00,12am,1:30am
COSMIC GATE,Quantum Valley,Day 1,2026-05-15,2026-05-16T00:00:00,2026-05-16T01:00:00,12am,1am
GRANT FISHER,YeeDC,Day 1,2026-05-15,2026-05-16T00:00:00,2026-05-16T01:30:00,12am,1:30am
RON D CORE,Insomniac Fridays,Day 1,2026-05-15,2026-05-16T00:15:00,2026-05-16T01:30:00,12:15am,1:30am
WOOLI,Circuit Grounds,Day 1,2026-05-15,2026-05-16T00:25:00,2026-05-16T01:35:00,12:25am,1:35am
MEDUZA,Cosmic Meadow,Day 1,2026-05-15,2026-05-16T00:25:00,2026-05-16T01:40:00,12:25am,1:40am
ATLIENS,Basspod,Day 1,2026-05-15,2026-05-16T00:30:00,2026-05-16T01:30:00,12:30am,1:30am
SALUTE B2B CHLOE CAILLET,Bionic Jungle,Day 1,2026-05-15,2026-05-16T00:30:00,2026-05-16T02:30:00,12:30am,2:30am
KUKO,Wasteland,Day 1,2026-05-15,2026-05-16T00:30:00,2026-05-16T01:30:00,12:30am,1:30am
THE CHAINSMOKERS,Kinetic Field,Day 1,2026-05-15,2026-05-16T00:32:00,2026-05-16T01:40:00,12:32am,1:40am
JOSH BAKER,Stereobloom,Day 1,2026-05-15,2026-05-16T00:45:00,2026-05-16T02:00:00,12:45am,2am
DRAMOS,Casa Bacardi,Day 1,2026-05-15,2026-05-16T01:00:00,2026-05-16T02:30:00,1am,2:30am
GOLD LEMONADE,Electrolit Hydration House,Day 1,2026-05-15,2026-05-16T01:00:00,2026-05-16T02:30:00,1am,2:30am
CASTOR & POLLUX,Forest House,Day 1,2026-05-15,2026-05-16T01:00:00,2026-05-16T02:00:00,1am,2am
ADRIATIQUE,Neon Garden,Day 1,2026-05-15,2026-05-16T01:00:00,2026-05-16T02:30:00,1am,2:30am
GARETH EMERY,Quantum Valley,Day 1,2026-05-15,2026-05-16T01:00:00,2026-05-16T02:00:00,1am,2am
MR DEEDS,Takis Rave Hangar,Day 1,2026-05-15,2026-05-16T01:00:00,2026-05-16T02:30:00,1am,2:30am
KAI WACHI,Basspod,Day 1,2026-05-15,2026-05-16T01:30:00,2026-05-16T02:30:00,1:30am,2:30am
ERO808,Beatbox Art Car,Day 1,2026-05-15,2026-05-16T01:30:00,2026-05-16T03:00:00,1:30am,3am
MOONPUP,Insomniac Fridays,Day 1,2026-05-15,2026-05-16T01:30:00,2026-05-16T02:45:00,1:30am,2:45am
HIXXY,Picnic Playtime Art Car,Day 1,2026-05-15,2026-05-16T01:30:00,2026-05-16T03:00:00,1:30am,3am
DESCENDANTS,Ubuntu,Day 1,2026-05-15,2026-05-16T01:30:00,2026-05-16T03:30:00,1:30am,3:30am
GRAVEDGR,Wasteland,Day 1,2026-05-15,2026-05-16T01:30:00,2026-05-16T02:30:00,1:30am,2:30am
ROADHOUSE,YeeDC,Day 1,2026-05-15,2026-05-16T01:30:00,2026-05-16T03:15:00,1:30am,3:15am
THE OUTLAW,Circuit Grounds,Day 1,2026-05-15,2026-05-16T01:35:00,2026-05-16T02:35:00,1:35am,2:35am
NOTION,Cosmic Meadow,Day 1,2026-05-15,2026-05-16T01:47:00,2026-05-16T02:47:00,1:47am,2:47am
FISHER,Kinetic Field,Day 1,2026-05-15,2026-05-16T01:47:00,2026-05-16T02:57:00,1:47am,2:57am
ZAANEE,Forest House,Day 1,2026-05-15,2026-05-16T02:00:00,2026-05-16T03:00:00,2am,3am
ILAN BLUESTONE,Quantum Valley,Day 1,2026-05-15,2026-05-16T02:00:00,2026-05-16T03:00:00,2am,3am
MAX DEAN,Stereobloom,Day 1,2026-05-15,2026-05-16T02:00:00,2026-05-16T03:15:00,2am,3:15am
ADVENTURE CLUB,Basspod,Day 1,2026-05-15,2026-05-16T02:30:00,2026-05-16T03:30:00,2:30am,3:30am
ROBERT HOOD,Bionic Jungle,Day 1,2026-05-15,2026-05-16T02:30:00,2026-05-16T04:00:00,2:30am,4am
GUARI,Casa Bacardi,Day 1,2026-05-15,2026-05-16T02:30:00,2026-05-16T04:00:00,2:30am,4am
NXSTY,Electrolit Hydration House,Day 1,2026-05-15,2026-05-16T02:30:00,2026-05-16T04:00:00,2:30am,4am
JOSEPH CAPRIATI,Neon Garden,Day 1,2026-05-15,2026-05-16T02:30:00,2026-05-16T04:00:00,2:30am,4am
R.A.W.,Takis Rave Hangar,Day 1,2026-05-15,2026-05-16T02:30:00,2026-05-16T04:00:00,2:30am,4am
REBEKAH,Wasteland,Day 1,2026-05-15,2026-05-16T02:30:00,2026-05-16T03:30:00,2:30am,3:30am
HOLY PRIEST,Circuit Grounds,Day 1,2026-05-15,2026-05-16T02:35:00,2026-05-16T03:30:00,2:35am,3:30am
STEVE LECLAIR,Insomniac Fridays,Day 1,2026-05-15,2026-05-16T02:45:00,2026-05-16T04:00:00,2:45am,4am
MPH,Cosmic Meadow,Day 1,2026-05-15,2026-05-16T02:47:00,2026-05-16T04:02:00,2:47am,4:02am
TC,Forest House,Day 1,2026-05-15,2026-05-16T03:00:00,2026-05-16T04:00:00,3am,4am
KYGORE,Picnic Playtime Art Car,Day 1,2026-05-15,2026-05-16T03:00:00,2026-05-16T04:15:00,3am,4:15am
PAUL VAN DYK,Quantum Valley,Day 1,2026-05-15,2026-05-16T03:00:00,2026-05-16T04:00:00,3am,4am
PORTER ROBINSON,Kinetic Field,Day 1,2026-05-15,2026-05-16T03:01:00,2026-05-16T04:10:00,3:01am,4:10am
OBSKUR,Stereobloom,Day 1,2026-05-15,2026-05-16T03:15:00,2026-05-16T04:30:00,3:15am,4:30am
CULTURE SHOCK,Basspod,Day 1,2026-05-15,2026-05-16T03:30:00,2026-05-16T04:30:00,3:30am,4:30am
RAY VOLPE,Circuit Grounds,Day 1,2026-05-15,2026-05-16T03:30:00,2026-05-16T04:30:00,3:30am,4:30am
JARED JACKSON,Ubuntu,Day 1,2026-05-15,2026-05-16T03:30:00,2026-05-16T05:30:00,3:30am,5:30am
DYEN,Wasteland,Day 1,2026-05-15,2026-05-16T03:30:00,2026-05-16T04:30:00,3:30am,4:30am
AVALON EMERSON,Bionic Jungle,Day 1,2026-05-15,2026-05-16T04:00:00,2026-05-16T05:30:00,4am,5:30am
DJ EXILE,Casa Bacardi,Day 1,2026-05-15,2026-05-16T04:00:00,2026-05-16T05:30:00,4am,5:30am
PLS&TY,Forest House,Day 1,2026-05-15,2026-05-16T04:00:00,2026-05-16T05:30:00,4am,5:30am
JASON SPLAT,Insomniac Fridays,Day 1,2026-05-15,2026-05-16T04:00:00,2026-05-16T05:30:00,4am,5:30am
ELI BROWN,Neon Garden,Day 1,2026-05-15,2026-05-16T04:00:00,2026-05-16T05:30:00,4am,5:30am
DARREN PORTER,Quantum Valley,Day 1,2026-05-15,2026-05-16T04:00:00,2026-05-16T05:30:00,4am,5:30am
SKANKA,Takis Rave Hangar,Day 1,2026-05-15,2026-05-16T04:00:00,2026-05-16T05:30:00,4am,5:30am
SAN PACHO,Cosmic Meadow,Day 1,2026-05-15,2026-05-16T04:02:00,2026-05-16T05:30:00,4:02am,5:30am
CHARLOTTE DE WITTE,Kinetic Field,Day 1,2026-05-15,2026-05-16T04:14:00,2026-05-16T05:28:00,4:14am,5:28am
TAVATLI,Beatbox Art Car,Day 1,2026-05-15,2026-05-16T04:15:00,2026-05-16T05:30:00,4:15am,5:30am
HARTSHORN,Picnic Playtime Art Car,Day 1,2026-05-15,2026-05-16T04:15:00,2026-05-16T05:30:00,4:15am,5:30am
