artist,stage,day,date,start,end,start_label,end_label
LINSKA,Circuit Grounds,Day 3,2026-05-17,2026-05-17T19:00:00,2026-05-17T20:30:00,7pm,8:30pm
GRAVAGERZ,Cosmic Meadow,Day 3,2026-05-17,2026-05-17T19:00:00,2026-05-17T20:00:00,7pm,8pm
MARC V,Electrolit Hydration House,Day 3,2026-05-17,2026-05-17T19:00:00,2026-05-17T20:30:00,7pm,8:30pm
ASSEMBLY,Forest House,Day 3,2026-05-17,2026-05-17T19:00:00,2026-05-17T20:00:00,7pm,8pm
KENDO,Insomniac Fridays,Day 3,2026-05-17,2026-05-17T19:00:00,2026-05-17T20:30:00,7pm,8:30pm
TRACE,Kinetic Field,Day 3,2026-05-17,2026-05-17T19:00:00,2026-05-17T20:00:00,7pm,8pm
BAD BEAT,Neon Garden,Day 3,2026-05-17,2026-05-17T19:00:00,2026-05-17T20:15:00,7pm,8:15pm
NERZ,Picnic Playtime Art Car,Day 3,2026-05-17,2026-05-17T19:00:00,2026-05-17T20:15:00,7pm,8:15pm
WARUNG,Quantum Valley,Day 3,2026-05-17,2026-05-17T19:00:00,2026-05-17T20:00:00,7pm,8pm
KLO,Stereobloom,Day 3,2026-05-17,2026-05-17T19:00:00,2026-05-17T20:00:00,7pm,8pm
CONNOR Q,Takis Rave Hangar,Day 3,2026-05-17,2026-05-17T19:00:00,2026-05-17T20:30:00,7pm,8:30pm
VIGRO DEEP,Ubuntu,Day 3,2026-05-17,2026-05-17T19:00:00,2026-05-17T21:00:00,7pm,9pm
SIHK,Wasteland,Day 3,2026-05-17,2026-05-17T19:00:00,2026-05-17T20:30:00,7pm,8:30pm
JOHN PRICE,YeeDC,Day 3,2026-05-17,2026-05-17T19:00:00,2026-05-17T20:45:00,7pm,8:45pm
SIPPY,Basspod,Day 3,2026-05-17,2026-05-17T19:50:00,2026-05-17T20:40:00,7:50pm,8:40pm
SORAYA,Casa Bacardi,Day 3,2026-05-17,2026-05-17T20:00:00,2026-05-17T21:00:00,8pm,9pm
NOSTALGIX,Cosmic Meadow,Day 3,2026-05-17,2026-05-17T20:00:00,2026-05-17T21:00:00,8pm,9pm
WARD ANDREWS,Forest House,Day 3,2026-05-17,2026-05-17T20:00:00,2026-05-17T21:00:00,8pm,9pm
SHIP WREK,Kinetic Field,Day 3,2026-05-17,2026-05-17T20:00:00,2026-05-17T21:00:00,8pm,9pm
SHINGO NAKAMURA,Quantum Valley,Day 3,2026-05-17,2026-05-17T20:00:00,2026-05-17T21:00:00,8pm,9pm
MURPHY’S LAW,Stereobloom,Day 3,2026-05-17,2026-05-17T20:00:00,2026-05-17T21:15:00,8pm,9:15pm
ODD LANGUAGE,Beatbox Art Car,Day 3,2026-05-17,2026-05-17T20:15:00,2026-05-17T21:30:00,8:15pm,9:30pm
KIMMYCAT,Picnic Playtime Art Car,Day 3,2026-05-17,2026-05-17T20:15:00,2026-05-17T21:30:00,8:15pm,9:30pm
ISABELLA,Bionic Jungle,Day 3,2026-05-17,2026-05-17T20:30:00,2026-05-17T22:30:00,8:30pm,10:30pm
ANNA,Circuit Grounds,Day 3,2026-05-17,2026-05-17T20:30:00,2026-05-17T22:00:00,8:30pm,10pm
RAJE,Electrolit Hydration House,Day 3,2026-05-17,2026-05-17T20:30:00,2026-05-17T22:00:00,8:30pm,10pm
MARS,Insomniac Fridays,Day 3,2026-05-17,2026-05-17T20:30:00,2026-05-17T21:45:00,8:30pm,9:45pm
FALLEN,Takis Rave Hangar,Day 3,2026-05-17,2026-05-17T20:30:00,2026-05-17T22:00:00,8:30pm,10pm
CLAWZ,Wasteland,Day 3,2026-05-17,2026-05-17T20:30:00,2026-05-17T21:30:00,8:30pm,9:30pm
EAZYBAKED,Basspod,Day 3,2026-05-17,2026-05-17T20:40:00,2026-05-17T21:30:00,8:40pm,9:30pm
BAD ASH,YeeDC,Day 3,2026-05-17,2026-05-17T20:45:00,2026-05-17T22:15:00,8:45pm,10:15pm
DOOZIE,Casa Bacardi,Day 3,2026-05-17,2026-05-17T21:00:00,2026-05-17T22:00:00,9pm,10pm
WILLIAM BLACK,Cosmic Meadow,Day 3,2026-05-17,2026-05-17T21:00:00,2026-05-17T22:00:00,9pm,10pm
NEON DELUZ,Forest House,Day 3,2026-05-17,2026-05-17T21:00:00,2026-05-17T22:00:00,9pm,10pm
LAYTON GIORDANI,Kinetic Field,Day 3,2026-05-17,2026-05-17T21:00:00,2026-05-17T22:00:00,9pm,10pm
REBUKE,Quantum Valley,Day 3,2026-05-17,2026-05-17T21:00:00,2026-05-17T22:00:00,9pm,10pm
FLOYD LAVINE,Ubuntu,Day 3,2026-05-17,2026-05-17T21:00:00,2026-05-17T23:00:00,9pm,11pm
SIDNEY CHARLES B2B BUSHBABY,Stereobloom,Day 3,2026-05-17,2026-05-17T21:15:00,2026-05-17T22:30:00,9:15pm,10:30pm
INFEKT B2B SAMPLIFIRE,Basspod,Day 3,2026-05-17,2026-05-17T21:30:00,2026-05-17T22:30:00,9:30pm,10:30pm
WOLFIE,Beatbox Art Car,Day 3,2026-05-17,2026-05-17T21:30:00,2026-05-17T22:45:00,9:30pm,10:45pm
ADIEL,Neon Garden,Day 3,2026-05-17,2026-05-17T21:30:00,2026-05-17T22:50:00,9:30pm,10:50pm
LEXXY JAX,Picnic Playtime Art Car,Day 3,2026-05-17,2026-05-17T21:30:00,2026-05-17T22:45:00,9:30pm,10:45pm
THE PURGE,Wasteland,Day 3,2026-05-17,2026-05-17T21:30:00,2026-05-17T22:30:00,9:30pm,10:30pm
MARK LEWIS,Insomniac Fridays,Day 3,2026-05-17,2026-05-17T21:45:00,2026-05-17T23:00:00,9:45pm,11pm
BROSA,Casa Bacardi,Day 3,2026-05-17,2026-05-17T22:00:00,2026-05-17T23:15:00,10pm,11:15pm
BELTRAN,Circuit Grounds,Day 3,2026-05-17,2026-05-17T22:00:00,2026-05-17T23:30:00,10pm,11:30pm
SAN HOLO,Cosmic Meadow,Day 3,2026-05-17,2026-05-17T22:00:00,2026-05-17T23:00:00,10pm,11pm
DENA,Electrolit Hydration House,Day 3,2026-05-17,2026-05-17T22:00:00,2026-05-17T23:30:00,10pm,11:30pm
TENSTEPS,Forest House,Day 3,2026-05-17,2026-05-17T22:00:00,2026-05-17T23:00:00,10pm,11pm
CRISTOPH,Quantum Valley,Day 3,2026-05-17,2026-05-17T22:00:00,2026-05-17T23:00:00,10pm,11pm
ROHAAN,Takis Rave Hangar,Day 3,2026-05-17,2026-05-17T22:00:00,2026-05-17T23:30:00,10pm,11:30pm
FUNK TRIBU,Kinetic Field,Day 3,2026-05-17,2026-05-17T22:07:00,2026-05-17T23:15:00,10:07pm,11:15pm
SOMMER RAY,YeeDC,Day 3,2026-05-17,2026-05-17T22:15:00,2026-05-18T00:00:00,10:15pm,12am
A.M.C,Basspod,Day 3,2026-05-17,2026-05-17T22:30:00,2026-05-17T23:30:00,10:30pm,11:30pm
KINAHAU,Bionic Jungle,Day 3,2026-05-17,2026-05-17T22:30:00,2026-05-18T00:00:00,10:30pm,12am
SKREAM,Stereobloom,Day 3,2026-05-17,2026-05-17T22:30:00,2026-05-17T23:45:00,10:30pm,11:45pm
YOSUF,Wasteland,Day 3,2026-05-17,2026-05-17T22:30:00,2026-05-17T23:30:00,10:30pm,11:30pm
CHIBS,Beatbox Art Car,Day 3,2026-05-17,2026-05-17T22:45:00,2026-05-18T00:00:00,10:45pm,12am
SIMON APEX & LOSTBOY TRIBUTE SET,Picnic Playtime Art Car,Day 3,2026-05-17,2026-05-17T22:45:00,2026-05-18T00:00:00,10:45pm,12am
DJ GIGOLA,Neon Garden,Day 3,2026-05-17,2026-05-17T22:50:00,2026-05-18T00:10:00,10:50pm,12:10am
DABIN,Cosmic Meadow,Day 3,2026-05-17,2026-05-17T23:00:00,2026-05-18T00:05:00,11pm,12:05am
JUST.SHAUN,Forest House,Day 3,2026-05-17,2026-05-17T23:00:00,2026-05-18T00:00:00,11pm,12am
STEVE LORIA,Insomniac Fridays,Day 3,2026-05-17,2026-05-17T23:00:00,2026-05-18T00:15:00,11pm,12:15am
ELI & FUR,Quantum Valley,Day 3,2026-05-17,2026-05-17T23:00:00,2026-05-18T00:00:00,11pm,12am
ZAKES BANTWINI,Ubuntu,Day 3,2026-05-17,2026-05-17T23:00:00,2026-05-18T01:00:00,11pm,1am
JUOS,Casa Bacardi,Day 3,2026-05-17,2026-05-17T23:15:00,2026-05-18T01:30:00,11:15pm,1:30am
GRIZ B2B WOOLI,Kinetic Field,Day 3,2026-05-17,2026-05-17T23:19:00,2026-05-18T00:28:00,11:19pm,12:28am
VIRTUAL RIOT,Basspod,Day 3,2026-05-17,2026-05-17T23:30:00,2026-05-18T00:30:00,11:30pm,12:30am
CHRIS STUSSY,Circuit Grounds,Day 3,2026-05-17,2026-05-17T23:30:00,2026-05-18T01:00:00,11:30pm,1am
ERIC D-LUX,Electrolit Hydration House,Day 3,2026-05-17,2026-05-17T23:30:00,2026-05-18T01:00:00,11:30pm,1am
JUSTIN HAWKES,Takis Rave Hangar,Day 3,2026-05-17,2026-05-17T23:30:00,2026-05-18T01:00:00,11:30pm,1am
DJ ISAAC,Wasteland,Day 3,2026-05-17,2026-05-17T23:30:00,2026-05-18T00:30:00,11:30pm,12:30am
HAMDI,Stereobloom,Day 3,2026-05-17,2026-05-17T23:45:00,2026-05-18T01:00:00,11:45pm,1am
2DY4,Beatbox Art Car,Day 3,2026-05-17,2026-05-18T00:00:00,2026-05-18T01:30:00,12am,1:30am
TIGA,Bionic Jungle,Day 3,2026-05-17,2026-05-18T00:00:00,2026-05-18T01:30:00,12am,1:30am
GOSHFATHER,Forest House,Day 3,2026-05-17,2026-05-18T00:00:00,2026-05-18T01:00:00,12am,1am
KUTA,Picnic Playtime Art Car,Day 3,2026-05-17,2026-05-18T00:00:00,2026-05-18T01:30:00,12am,1:30am
TINLICKER,Quantum Valley,Day 3,2026-05-17,2026-05-18T00:00:00,2026-05-18T01:00:00,12am,1am
DISKO COWBOY,YeeDC,Day 3,2026-05-17,2026-05-18T00:00:00,2026-05-18T01:30:00,12am,1:30am
ALISON WONDERLAND,Cosmic Meadow,Day 3,2026-05-17,2026-05-18T00:05:00,2026-05-18T01:05:00,12:05am,1:05am
999999999,Neon Garden,Day 3,2026-05-17,2026-05-18T00:10:00,2026-05-18T01:30:00,12:10am,1:30am
FRANKIE BONES,Insomniac Fridays,Day 3,2026-05-17,2026-05-18T00:15:00,2026-05-18T01:30:00,12:15am,1:30am
PEEKABOO,Basspod,Day 3,2026-05-17,2026-05-18T00:30:00,2026-05-18T01:30:00,12:30am,1:30am
VIEZE ASBAK,Wasteland,Day 3,2026-05-17,2026-05-18T00:30:00,2026-05-18T01:30:00,12:30am,1:30am
ZEDD,Kinetic Field,Day 3,2026-05-17,2026-05-18T00:32:00,2026-05-18T01:40:00,12:32am,1:40am
SOLOMUN,Circuit Grounds,Day 3,2026-05-17,2026-05-18T01:00:00,2026-05-18T02:30:00,1am,2:30am
OKAYVAL,Electrolit Hydration House,Day 3,2026-05-17,2026-05-18T01:00:00,2026-05-18T02:30:00,1am,2:30am
SILVER PANDA,Forest House,Day 3,2026-05-17,2026-05-18T01:00:00,2026-05-18T02:00:00,1am,2am
CASSIAN,Quantum Valley,Day 3,2026-05-17,2026-05-18T01:00:00,2026-05-18T02:15:00,1am,2:15am
CHRIS LORENZO B2B BULLET TOOTH,Stereobloom,Day 3,2026-05-17,2026-05-18T01:00:00,2026-05-18T02:15:00,1am,2:15am
AK1200,Takis Rave Hangar,Day 3,2026-05-17,2026-05-18T01:00:00,2026-05-18T02:30:00,1am,2:30am
NATIVESUN,Ubuntu,Day 3,2026-05-17,2026-05-18T01:00:00,2026-05-18T03:00:00,1am,3am
SEVEN LIONS,Cosmic Meadow,Day 3,2026-05-17,2026-05-18T01:05:00,2026-05-18T02:20:00,1:05am,2:20am
AHEE B2B LIQUID STRANGER,Basspod,Day 3,2026-05-17,2026-05-18T01:30:00,2026-05-18T02:30:00,1:30am,2:30am
SQISHI,Beatbox Art Car,Day 3,2026-05-17,2026-05-18T01:30:00,2026-05-18T03:00:00,1:30am,3am
DJ TENNIS B2B RED AXES,Bionic Jungle,Day 3,2026-05-17,2026-05-18T01:30:00,2026-05-18T03:30:00,1:30am,3:30am
ROMMII,Casa Bacardi,Day 3,2026-05-17,2026-05-18T01:30:00,2026-05-18T02:45:00,1:30am,2:45am
DONALD GLAUDE,Insomniac Fridays,Day 3,2026-05-17,2026-05-18T01:30:00,2026-05-18T02:45:00,1:30am,2:45am
INDIRA PAGANOTTO,Neon Garden,Day 3,2026-05-17,2026-05-18T01:30:00,2026-05-18T02:50:00,1:30am,2:50am
LUCKY RABBIT,Picnic Playtime Art Car,Day 3,2026-05-17,2026-05-18T01:30:00,2026-05-18T03:00:00,1:30am,3am
SUB ZERO PROJECT,Wasteland,Day 3,2026-05-17,2026-05-18T01:30:00,2026-05-18T02:30:00,1:30am,2:30am
ASHLEY WALLS,YeeDC,Day 3,2026-05-17,2026-05-18T01:30:00,2026-05-18T03:15:00,1:30am,3:15am
MARTIN GARRIX,Kinetic Field,Day 3,2026-05-17,2026-05-18T01:47:00,2026-05-18T02:57:00,1:47am,2:57am
NEKTER,Forest House,Day 3,2026-05-17,2026-05-18T02:00:00,2026-05-18T03:00:00,2am,3am
MASSANO,Quantum Valley,Day 3,2026-05-17,2026-05-18T02:15:00,2026-05-18T03:30:00,2:15am,3:30am
SILVA BUMPA,Stereobloom,Day 3,2026-05-17,2026-05-18T02:15:00,2026-05-18T03:30:00,2:15am,3:30am
RESTRICTED,Cosmic Meadow,Day 3,2026-05-17,2026-05-18T02:20:00,2026-05-18T03:20:00,2:20am,3:20am
WHETHAN,Basspod,Day 3,2026-05-17,2026-05-18T02:30:00,2026-05-18T03:30:00,2:30am,3:30am
VINTAGE CULTURE,Circuit Grounds,Day 3,2026-05-17,2026-05-18T02:30:00,2026-05-18T04:00:00,2:30am,4am
MTK,Electrolit Hydration House,Day 3,2026-05-17,2026-05-18T02:30:00,2026-05-18T04:00:00,2:30am,4am
APX1,Takis Rave Hangar,Day 3,2026-05-17,2026-05-18T02:30:00,2026-05-18T04:00:00,2:30am,4am
ROOLER,Wasteland,Day 3,2026-05-17,2026-05-18T02:30:00,2026-05-18T03:30:00,2:30am,3:30am
CLOSE FRIENDS ONLY,Casa Bacardi,Day 3,2026-05-17,2026-05-18T02:45:00,2026-05-18T04:00:00,2:45am,4am
CHARLES FEELGOOD,Insomniac Fridays,Day 3,2026-05-17,2026-05-18T02:45:00,2026-05-18T04:00:00,2:45am,4am
KI/KI,Neon Garden,Day 3,2026-05-17,2026-05-18T02:50:00,2026-05-18T04:10:00,2:50am,4:10am
SISTO,Beatbox Art Car,Day 3,2026-05-17,2026-05-18T03:00:00,2026-05-18T04:15:00,3am,4:15am
TIM CLARK,Forest House,Day 3,2026-05-17,2026-05-18T03:00:00,2026-05-18T04:00:00,3am,4am
MUNEQUITA,Picnic Playtime Art Car,Day 3,2026-05-17,2026-05-18T03:00:00,2026-05-18T04:15:00,3am,4:15am
SABINE BLAIZIN,Ubuntu,Day 3,2026-05-17,2026-05-18T03:00:00,2026-05-18T05:30:00,3am,5:30am
CLOONEE,Kinetic Field,Day 3,2026-05-17,2026-05-18T03:01:00,2026-05-18T04:10:00,3:01am,4:10am
WILLIE PAKE,YeeDC,Day 3,2026-05-17,2026-05-18T03:15:00,2026-05-18T04:15:00,3:15am,4:15am
BLACK TIGER SEX MACHINE,Cosmic Meadow,Day 3,2026-05-17,2026-05-18T03:20:00,2026-05-18T04:30:00,3:20am,4:30am
BOOGIE T B2B DISTINCT MOTIVE,Basspod,Day 3,2026-05-17,2026-05-18T03:30:00,2026-05-18T04:30:00,3:30am,4:30am
BELTRAN B2B SIMAS,Bionic Jungle,Day 3,2026-05-17,2026-05-18T03:30:00,2026-05-18T05:30:00,3:30am,5:30am
INNELLEA,Quantum Valley,Day 3,2026-05-17,2026-05-18T03:30:00,2026-05-18T04:30:00,3:30am,4:30am
MORGAN SEATREE,Stereobloom,Day 3,2026-05-17,2026-05-18T03:30:00,2026-05-18T04:30:00,3:30am,4:30am
WARFACE,Wasteland,Day 3,2026-05-17,2026-05-18T03:30:00,2026-05-18T04:30:00,3:30am,4:30am
CLOSE FRIENDS ONLY B2B JUOS B2B ROMMII,Casa Bacardi,Day 3,2026-05-17,2026-05-18T04:00:00,2026-05-18T05:30:00,4am,5:30am
KEVIN DE VRIES,Circuit Grounds,Day 3,2026-05-17,2026-05-18T04:00:00,2026-05-18T05:30:00,4am,5:30am
SYNNHAVEN,Forest House,Day 3,2026-05-17,2026-05-18T04:00:00,2026-05-18T05:30:00,4am,5:30am
MARK E QUARK,Insomniac Fridays,Day 3,2026-05-17,2026-05-18T04:00:00,2026-05-18T05:30:00,4am,5:30am
SCOOBA,Takis Rave Hangar,Day 3,2026-05-17,2026-05-18T04:00:00,2026-05-18T05:30:00,4am,5:30am
KLANGKUENSTLER,Neon Garden,Day 3,2026-05-17,2026-05-18T04:10:00,2026-05-18T05:30:00,4:10am,5:30am
ARMIN VAN BUUREN,Kinetic Field,Day 3,2026-05-17,2026-05-18T04:14:00,2026-05-18T05:28:00,4:14am,5:28am
VICIOUS,Beatbox Art Car,Day 3,2026-05-17,2026-05-18T04:15:00,2026-05-18T05:30:00,4:15am,5:30am
2B HAPPY,Picnic Playtime Art Car,Day 3,2026-05-17,2026-05-18T04:15:00,2026-05-18T05:30:00,4:15am,5:30am
AEON:MODE,Basspod,Day 3,2026-05-17,2026-05-18T04:30:00,2026-05-18T05:30:00,4:30am,5:30am
NICO MORENO B2B HOLY PRIEST,Cosmic Meadow,Day 3,2026-05-17,2026-05-18T04:30:00,2026-05-18T05:30:00,4:30am,5:30am
KREAM,Quantum Valley,Day 3,2026-05-17,2026-05-18T04:30:00,2026-05-18T05:30:00,4:30am,5:30am
LU.RE,Stereobloom,Day 3,2026-05-17,2026-05-18T04:30:00,2026-05-18T05:30:00,4:30am,5:30am
MADGRRL B2B VESSEL,Wasteland,Day 3,2026-05-17,2026-05-18T04:30:00,2026-05-18T05:30:00,4:30am,5:30am
